,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10493,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19511875.0,19511875.0,False,,1,,,,2023-10-12T21:02:00.000Z,26743.570395735245,9524280664.589827,-29.0447,0.14606949,0.11697792,-2.66342073,2.59625158,-9.04317282,-11.52877449,521817202615.2866,50.0273,561614978310.44,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:44.820601+00:00
1,1027,Ethereum,ETH,ethereum,7545,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120253572.44785082,120253572.44785082,True,,2,,,,2023-10-12T21:02:00.000Z,1536.0626833722806,4965063581.316377,-8.5528,0.3578576,-1.72871174,-4.98868869,-3.8693896,-17.12594943,-19.91200783,184717025179.3487,17.7091,184717025179.35,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:44.820601+00:00
2,825,Tether USDt,USDT,tether,63622,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83522032813.19975,86625667477.82788,True,,3,,,,2023-10-12T21:02:00.000Z,0.9996378661305236,16304119542.837595,-17.6597,-0.01426699,-0.00641771,-0.06678764,-0.00457186,0.03439353,-0.10259473,83491786656.27058,8.0028,86594297389.67,,2023-10-12T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-12 21:04:44.820601+00:00
3,1839,BNB,BNB,bnb,1679,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153845138.6549041,153845138.6549041,False,,4,,,,2023-10-12T21:02:00.000Z,205.08341292998523,299956675.69895554,-7.4966,-0.13301712,-0.46437687,-2.81355644,-3.29213836,-14.93278968,-16.61871106,31551086098.03453,3.0242,31551086098.03,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:44.820601+00:00
4,52,XRP,XRP,xrp,1113,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-12T21:02:00.000Z,0.48217156983011505,806126448.7391595,1.1149,0.11796798,-0.83766497,-7.78363179,-0.10394491,-23.71882181,-32.31867054,25767744067.077446,2.4704,48217156983.01,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:44.820601+00:00
5,1,Bitcoin,BTC,bitcoin,10493,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19511875.0,19511875.0,False,,1,,,,2023-10-12T21:02:00.000Z,26743.570395735245,9524280664.589827,-29.0447,0.14606949,0.11697792,-2.66342073,2.59625158,-9.04317282,-11.52877449,521817202615.2866,50.0273,561614978310.44,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:45.117147+00:00
6,1027,Ethereum,ETH,ethereum,7545,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120253572.44785082,120253572.44785082,True,,2,,,,2023-10-12T21:02:00.000Z,1536.0626833722806,4965063581.316377,-8.5528,0.3578576,-1.72871174,-4.98868869,-3.8693896,-17.12594943,-19.91200783,184717025179.3487,17.7091,184717025179.35,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:45.117147+00:00
7,825,Tether USDt,USDT,tether,63622,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83522032813.19975,86625667477.82788,True,,3,,,,2023-10-12T21:02:00.000Z,0.9996378661305236,16304119542.837595,-17.6597,-0.01426699,-0.00641771,-0.06678764,-0.00457186,0.03439353,-0.10259473,83491786656.27058,8.0028,86594297389.67,,2023-10-12T21:02:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-10-12 21:04:45.117147+00:00
8,1839,BNB,BNB,bnb,1679,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153845138.6549041,153845138.6549041,False,,4,,,,2023-10-12T21:02:00.000Z,205.08341292998523,299956675.69895554,-7.4966,-0.13301712,-0.46437687,-2.81355644,-3.29213836,-14.93278968,-16.61871106,31551086098.03453,3.0242,31551086098.03,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:45.117147+00:00
9,52,XRP,XRP,xrp,1113,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53441027384.0,99988362642.0,False,,5,,,,2023-10-12T21:02:00.000Z,0.48217156983011505,806126448.7391595,1.1149,0.11796798,-0.83766497,-7.78363179,-0.10394491,-23.71882181,-32.31867054,25767744067.077446,2.4704,48217156983.01,,2023-10-12T21:02:00.000Z,,,,,,2023-10-12 21:04:45.117147+00:00
